2024-01-03 23:31:24,485 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-03 23:38:32,914 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-03 23:41:21,026 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'restart_server'}]
2024-01-03 23:41:36,089 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'stop_server'}, {'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-03 23:42:35,226 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-03 23:48:36,481 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'stop_server'}]
2024-01-03 23:52:49,782 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-03 23:58:45,025 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'stop_server'}]
2024-01-03 23:58:58,081 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-04 00:01:54,218 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'stop_server'}]
2024-01-04 00:03:52,381 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
2024-01-04 00:46:21,429 - [AUTH] - INFO - Current queued commands: [{'server_id': '1', 'user_id': 1, 'command': 'start_server'}]
